"","site_model_name","clock_model_name","tree_prior_name","marg_log_lik","marg_log_lik_sd","weight"
"1","GTR","relaxed_log_normal","birth_death",-8239.70937865982,4.21511134851551,2.85838606248373e-24
"2","GTR","relaxed_log_normal","coalescent_bayesian_skyline",-8236.96529616268,4.31435853664513,4.44488748474696e-23
"3","GTR","relaxed_log_normal","coalescent_constant_population",-8241.34706297325,3.99116398983908,5.55755315461009e-25
"4","GTR","relaxed_log_normal","coalescent_exp_population",-8241.6190196639,4.36643826605339,4.2342289298091e-25
"5","GTR","relaxed_log_normal","yule",-8214.70196760163,6.57886089592532,2.07348794528887e-13
"6","GTR","strict","birth_death",-8216.5091272395,6.28365325767943,3.40300083913429e-14
"7","GTR","strict","coalescent_bayesian_skyline",-8209.47790852256,4.8322267017134,3.85018454172006e-11
"8","GTR","strict","coalescent_constant_population",-8286.08634948243,4.8238980003038,2.06470671357315e-44
"9","GTR","strict","coalescent_exp_population",-8245.91372574037,5.60705541417683,5.77573401304642e-27
"10","GTR","strict","yule",-8202.96666553465,5.17773436474041,0.0000000258987286852922
"11","HKY","relaxed_log_normal","birth_death",-8197.36486912122,4.56153472215481,0.00000701629300384205
"12","HKY","relaxed_log_normal","coalescent_bayesian_skyline",-8201.19675043745,5.14622755514796,0.000000152034729634568
"13","HKY","relaxed_log_normal","coalescent_constant_population",-8198.67574795557,3.75030408805093,0.00000189147355132423
"14","HKY","relaxed_log_normal","coalescent_exp_population",-8210.6377328727,5.56576863321759,1.20719167211101e-11
"15","HKY","relaxed_log_normal","yule",-8200.45577425902,5.09642299325518,0.000000318966205281591
"16","HKY","strict","birth_death",-8193.83276273165,4.6929361127637,0.000239928606459562
"17","HKY","strict","coalescent_bayesian_skyline",-8195.57491580954,4.1722237125017,0.0000420217914641455
"18","HKY","strict","coalescent_constant_population",-8195.84068833342,3.86889728375365,0.0000322144723756234
"19","HKY","strict","coalescent_exp_population",-8203.10169995474,5.75973942684275,0.0000000226273524959372
"20","HKY","strict","yule",-8201.42753998874,5.77817650038751,0.00000012070136389246
"21","JC69","relaxed_log_normal","birth_death",-8193.57958546514,4.22184329917536,0.000309054820107855
"22","JC69","relaxed_log_normal","coalescent_bayesian_skyline",-8185.56758697254,3.26987556924289,0.932399980397858
"23","JC69","relaxed_log_normal","coalescent_constant_population",-8198.58990732798,4.55413280778367,0.00000206101135153901
"24","JC69","relaxed_log_normal","coalescent_exp_population",-8194.32578189477,4.36300290937919,0.000146543489767635
"25","JC69","relaxed_log_normal","yule",-8191.98613451232,4.79080523548704,0.00152076629057376
"26","JC69","strict","birth_death",-8194.08309761259,4.10262428976953,0.000186794022358851
"27","JC69","strict","coalescent_bayesian_skyline",-8204.67425288424,5.49921161132924,0.00000000469550905824934
"28","JC69","strict","coalescent_constant_population",-8191.97349780583,4.13214282205601,0.00154010570370678
"29","JC69","strict","coalescent_exp_population",-8188.2561734018,3.31830968364333,0.0633817177865952
"30","JC69","strict","yule",-8194.58498662064,3.74520231125598,0.000113082485999397
"31","TN93","relaxed_log_normal","birth_death",-8203.08202475509,4.64371367685295,0.0000000230769587159165
"32","TN93","relaxed_log_normal","coalescent_bayesian_skyline",-8206.93974209355,4.48058389441043,0.000000000487296419439355
"33","TN93","relaxed_log_normal","coalescent_constant_population",-8194.9835098774,4.24996493405938,0.0000759134792042987
"34","TN93","relaxed_log_normal","coalescent_exp_population",-8211.43732497549,5.71358070734088,5.42647482777811e-12
"35","TN93","relaxed_log_normal","yule",-8212.85671471174,5.65453634174787,1.31245572802425e-12
"36","TN93","strict","birth_death",-8204.09015834473,5.71307168361095,0.00000000842076830665229
"37","TN93","strict","coalescent_bayesian_skyline",-8204.51159387922,5.31901967997219,0.00000000552490215319744
"38","TN93","strict","coalescent_constant_population",-8206.6573406262,4.90109432311591,0.000000000646306642160277
"39","TN93","strict","coalescent_exp_population",-8228.96049468967,3.68028606729385,1.33137954548705e-19
"40","TN93","strict","yule",-8200.80592437436,5.21832928908262,0.000000224737946740628
