"","site_model_name","clock_model_name","tree_prior_name","marg_log_lik","marg_log_lik_sd","weight"
"1","GTR","relaxed_log_normal","birth_death",-6433.59249248315,6.36013629763024,2.17686135398998e-17
"2","GTR","relaxed_log_normal","coalescent_bayesian_skyline",-6430.90747044624,6.50367718982805,3.19095752843191e-16
"3","GTR","relaxed_log_normal","coalescent_constant_population",-6429.24205728888,6.22656316913151,1.68733287491461e-15
"4","GTR","relaxed_log_normal","coalescent_exp_population",-6436.99438584475,7.58510477204471,7.25115609753684e-19
"5","GTR","relaxed_log_normal","yule",-6420.50424491123,5.89547139003479,1.05192425150626e-11
"6","GTR","strict","birth_death",-6417.83851810936,5.76570544947492,0.000000000151249834441679
"7","GTR","strict","coalescent_bayesian_skyline",-6419.06664730023,5.55620822943514,4.42919883780272e-11
"8","GTR","strict","coalescent_constant_population",-6421.7534431939,6.2394198768993,3.01623063517704e-12
"9","GTR","strict","coalescent_exp_population",-6412.61416947176,4.85083057647861,0.0000000280931664779948
"10","GTR","strict","yule",-6420.83830479514,6.20539738676953,7.53189233639782e-12
"11","HKY","relaxed_log_normal","birth_death",-6409.16887007316,5.02149581941423,0.000000880795749375106
"12","HKY","relaxed_log_normal","coalescent_bayesian_skyline",-6421.59165210597,5.3895291516166,3.54592481868153e-12
"13","HKY","relaxed_log_normal","coalescent_constant_population",-6406.97220151823,5.4762721329693,0.00000792275529001124
"14","HKY","relaxed_log_normal","coalescent_exp_population",-6399.3183960777,4.10920240185427,0.0167063551848338
"15","HKY","relaxed_log_normal","yule",-6420.38762140022,6.29742864460217,1.18204337957036e-11
"16","HKY","strict","birth_death",-6414.78126381377,5.01460033889422,0.00000000321694457369543
"17","HKY","strict","coalescent_bayesian_skyline",-6434.09911492248,6.23007898039583,1.31161821584996e-17
"18","HKY","strict","coalescent_constant_population",-6424.48509073837,6.17456736547984,1.9639258728882e-13
"19","HKY","strict","coalescent_exp_population",-6419.41253795742,5.27894794091245,3.13405615340216e-11
"20","HKY","strict","yule",-6404.65513997857,4.47106367504116,0.0000803828283096147
"21","JC69","relaxed_log_normal","birth_death",-6412.71514514722,5.65888466481151,0.0000000253949588910666
"22","JC69","relaxed_log_normal","coalescent_bayesian_skyline",-6400.26540472274,3.94135984486554,0.00648038908139834
"23","JC69","relaxed_log_normal","coalescent_constant_population",-6414.00201680946,4.97932591102869,0.00000000701239307684827
"24","JC69","relaxed_log_normal","coalescent_exp_population",-6407.07837483552,4.49449247230814,0.00000712468645011438
"25","JC69","relaxed_log_normal","yule",-6402.65111146223,3.85094510153672,0.000596350804150369
"26","JC69","strict","birth_death",-6410.20967540414,4.05605808451177,0.000000311070765641179
"27","JC69","strict","coalescent_bayesian_skyline",-6416.50118649843,4.97913632985504,0.000000000576090411763506
"28","JC69","strict","coalescent_constant_population",-6410.4183495747,5.12263221903979,0.000000252483590375822
"29","JC69","strict","coalescent_exp_population",-6406.11557644827,4.34953975024368,0.000018659662443923
"30","TN93","relaxed_log_normal","birth_death",-6416.22991443767,6.06057564735774,0.000000000755618541418801
"31","TN93","relaxed_log_normal","coalescent_bayesian_skyline",-6416.43655428017,5.99802359234671,0.000000000614554018455032
"32","TN93","relaxed_log_normal","coalescent_constant_population",-6395.25062664535,3.57279224823505,0.976093742432463
"33","TN93","relaxed_log_normal","coalescent_exp_population",-6413.3233890396,4.95926541245164,0.0000000138226257003888
"34","TN93","relaxed_log_normal","yule",-6408.65765704853,5.15777282799885,0.00000146856172752475
"35","TN93","strict","birth_death",-6436.07987710805,6.86968010243947,1.80956151964172e-18
"36","TN93","strict","coalescent_bayesian_skyline",-6408.96606221035,4.14388398451756,0.00000107883131917502
"37","TN93","strict","coalescent_constant_population",-6407.43236639947,4.36282737708485,0.00000500068125540441
"38","TN93","strict","coalescent_exp_population",-6423.25513594003,5.46485780152594,6.7187374984767e-13
"39","TN93","strict","yule",-6416.89203609825,4.95617596308228,0.000000000389714731357351
