"","site_model_name","clock_model_name","tree_prior_name","marg_log_lik","marg_log_lik_sd","weight"
"1","JC69","strict","yule",-8210.83049867038,2.48008362000727,0.853007181858218
"2","GTR","relaxed_log_normal","birth_death",-8223.15988735498,5.25782365308611,0.00000377022454751581
"3","GTR","relaxed_log_normal","coalescent_bayesian_skyline",-8237.71056556904,5.96517644240202,1.80754018155671e-12
"4","GTR","relaxed_log_normal","coalescent_constant_population",-8330.4001733999,3.52112342401694,1.00577943101228e-52
"5","GTR","relaxed_log_normal","coalescent_exp_population",-8221.90000096863,4.94537292362014,0.0000132901206071335
"6","GTR","relaxed_log_normal","yule",-8236.64137544489,6.19916027601521,5.26539954352178e-12
"7","GTR","strict","birth_death",-8231.9583554689,4.38063675969092,0.000000000569168774084256
"8","GTR","strict","coalescent_bayesian_skyline",-8235.56521291638,4.77213201871431,1.54455287153652e-11
"9","GTR","strict","coalescent_constant_population",-8243.78494015597,4.84830560932846,4.15930335421302e-15
"10","GTR","strict","coalescent_exp_population",-8236.4977527396,6.32868447432203,6.07863238930362e-12
"11","GTR","strict","yule",-8238.02676460095,4.85089982360866,1.31754199192744e-12
"12","HKY","relaxed_log_normal","birth_death",-8216.18060008601,3.43336927373803,0.00404979616955893
"13","HKY","relaxed_log_normal","coalescent_bayesian_skyline",-8229.39469754161,4.5114086299943,0.00000000738964468814339
"14","HKY","relaxed_log_normal","coalescent_constant_population",-8234.10348746963,4.57266941968778,6.66226763068047e-11
"15","HKY","relaxed_log_normal","coalescent_exp_population",-8235.11174640851,5.32292558713562,2.43075272509673e-11
"16","HKY","relaxed_log_normal","yule",-8221.50900320843,3.11495411252004,0.0000196488479462887
"17","HKY","strict","birth_death",-8237.41233761675,5.93729608307835,2.43560420094206e-12
"18","HKY","strict","coalescent_bayesian_skyline",-8226.20011217411,5.19293543963872,0.000000180307733413702
"19","HKY","strict","coalescent_constant_population",-8242.39352797743,7.40419827504969,1.67225778911359e-14
"20","HKY","strict","coalescent_exp_population",-8289.93368716295,3.44954926463131,3.77463032297435e-35
"21","HKY","strict","yule",-8231.26691206659,5.41828572769149,0.00000000113639972468735
"22","JC69","relaxed_log_normal","birth_death",-8219.03544064513,3.57197999837642,0.000233126510844828
"23","JC69","relaxed_log_normal","coalescent_bayesian_skyline",-8220.68561099941,3.42279083458642,0.0000447642986653799
"24","JC69","relaxed_log_normal","coalescent_constant_population",-8224.78752250356,4.5667593229983,0.000000740447469358088
"25","JC69","relaxed_log_normal","coalescent_exp_population",-8225.59386656311,5.11806013580426,0.000000330600478321837
"26","JC69","relaxed_log_normal","yule",-8212.77450012424,3.1629589351255,0.12209098105119
"27","JC69","strict","birth_death",-8218.07862947576,3.59144833954206,0.00060691724090054
"28","JC69","strict","coalescent_bayesian_skyline",-8232.88055384841,6.04572102105791,0.000000000226326495229387
"29","JC69","strict","coalescent_constant_population",-8214.59897512122,3.18784514634993,0.0196935567977148
"30","JC69","strict","coalescent_exp_population",-8221.31358153395,3.86914471351674,0.0000238895322635315
"31","TN93","relaxed_log_normal","birth_death",-8239.50952972362,5.93409997599297,2.99094037212171e-13
"32","TN93","relaxed_log_normal","coalescent_bayesian_skyline",-8233.38669029213,5.31836739720281,0.000000000136434163853465
"33","TN93","relaxed_log_normal","coalescent_constant_population",-8258.51283093633,5.62302994792401,1.67024007724704e-21
"34","TN93","relaxed_log_normal","coalescent_exp_population",-8232.51266606975,5.11865099389922,0.000000000326969339844833
"35","TN93","relaxed_log_normal","yule",-8221.17851908152,4.17334267759496,0.0000273441560921615
"36","TN93","strict","birth_death",-8223.96216299437,3.97357174971265,0.00000169022037859425
"37","TN93","strict","coalescent_bayesian_skyline",-8236.12419412344,5.54965966524401,8.83161900748421e-12
"38","TN93","strict","coalescent_constant_population",-8228.043812978,5.31790654874277,0.000000028530229727381
"39","TN93","strict","coalescent_exp_population",-8220.39218131749,4.35105780627676,0.0000600297695808758
"40","TN93","strict","yule",-8219.67708888838,4.33760093522825,0.000122723398205982
